month,precipitation_mean_mm_day,precipitation_monthly_mean_mm,temperature_mean_c,tmax_mean_c,tmin_mean_c,relative_humidity_mean_percent,soil_moisture_mean_m3m3
1,2.2089247311827958,68.47666666666667,8.74991935483871,14.932150537634408,3.2083333333333335,69.81451612903226,0.3056647849462366
2,4.138443396226415,116.97999999999999,11.10554245283019,17.021137971698113,5.332635613207547,69.55454009433963,0.352670695754717
3,4.200537634408602,130.21666666666664,15.595134408602151,21.646586021505378,9.436639784946237,66.44354838709677,0.33954838709677415
4,2.763888888888889,82.91666666666667,21.059694444444442,27.410416666666666,14.208972222222224,58.800555555555555,0.2837797222222222
5,1.2033870967741938,37.305,26.710913978494624,33.29720430107527,19.22244623655914,45.69784946236559,0.19858548387096772
6,2.2224444444444447,66.67333333333333,30.106444444444442,35.90488888888889,23.336388888888887,47.060833333333335,0.1899077777777778
7,5.7505376344086025,178.26666666666668,28.578763440860214,32.770430107526884,24.297043010752688,71.03091397849462,0.3080771505376344
8,5.629086021505376,174.5016666666667,27.224784946236557,31.188629032258063,23.436720430107528,78.21639784946237,0.35059139784946236
9,2.5519444444444446,76.55833333333334,25.597250000000003,30.677111111111113,20.68011111111111,69.2925,0.27816277777777776
10,0.995752688172043,30.868333333333332,21.091908602150536,27.726586021505376,14.985645161290321,57.443279569892475,0.20731774193548386
11,1.0762222222222222,32.28666666666667,15.06163888888889,21.819861111111113,9.23688888888889,63.333333333333336,0.22755916666666665
12,0.9866129032258065,30.584999999999997,10.564516129032258,17.31266129032258,4.913629032258065,67.03225806451613,0.24750806451612903
